Title,Style,Size,OG,FG,ABV,IBU,Color
Avg. Perfect Northeast IPA (NEIPA),Specialty IPA: New England IPA,5.75 Gallons,1.062,1.013,6.5,59.26,5.2 °L
Sierra Nevada Pale Ale Clone,American Pale Ale,6.5 Gallons,1.055,1.013,5.58,39.79,8 °L
Vanilla Cream Ale,Cream Ale,5.75 Gallons,1.055,1.013,5.48,19.44,4.83 °L
Zombie Dust Clone - ALL GRAIN,American IPA,6 Gallons,1.061,1.016,5.94,62.42,8.5 °L
Russian River Pliny The Elder (original),Imperial IPA,6 Gallons,1.072,1.018,7.09,232.89,6.33 °L
Spotted Clown (New Glarus Spotted Cow Clone),Cream Ale,5.5 Gallons,1.054,1.014,5.36,21.27,5.94 °L
Chocolate Vanilla Porter,Robust Porter,6 Gallons,1.06,1.016,5.77,31.36,34.76 °L
Southern Tier Pumking Clone,Holiday/Winter Special Spiced Beer,5.5 Gallons,1.083,1.021,8.16,50.22,15.64 °L
Mango Habanero IPA,Imperial IPA,5.5 Gallons,1.086,1.018,8.88,98.09,8.55 °L
Bakke Brygg Belgisk Blond 50 L,Belgian Blond Ale,50 Litres,1.062,1.012,6.52,18.54,4.35 °L
White IPA,American IPA,10 Gallons,1.064,1.017,6.2,55.96,3.91 °L
Pilsner Urquell BYO Clone,Bohemian Pilsener,11 Gallons,1.051,1.013,4.92,36.45,3.61 °L
Bells Two Hearted Clone,American IPA,5.5 Gallons,1.073,1.018,7.14,63.62,8.1 °L
Racer 5 IPA Clone,American IPA,5.5 Gallons,1.073,1.019,7.07,73.63,6.28 °L
Bakke Brygg HveteIPA 25 L,American IPA,25 Litres,1.064,1.013,6.76,64.26,7.78 °L
New Glarus Fat Squirrel Clone,Northern English Brown,5.5 Gallons,1.046,1.01,4.61,22.81,12.56 °L
Bill's Double Chocolate Milk Stout,Sweet Stout,5.5 Gallons,1.066,1.021,5.87,33.9,41.27 °L
Goose Island IPA Clone,English IPA,5.5 Gallons,1.065,1.015,6.63,51.93,9.47 °L
Pilsner Urquell National Award-Winning Clone (Decoction And Non-Decoction Version),Czech Premium Pale Lager,6 Gallons,1.051,1.013,5,38.19,2.92 °L
Simple Citra IPA - One Gallon,American IPA,1 Gallons,1.058,1.011,6.1,40.9,11.45 °L
Hazy Juicy IPA,American IPA,6 Gallons,1.062,1.012,6.51,98.86,4.26 °L
Heineken Lager Clone,Premium American Lager,48 Litres,1.049,1.008,5.41,24.28,3.3 °L
Lagunitas IPA Clone,English IPA,5.5 Gallons,1.061,1.014,6.17,54.51,5.85 °L
Easy Blonde Ale,Blonde Ale,5.5 Gallons,1.045,1.011,4.48,22.6,4.15 °L
Ballast Point Sculpin Ale Clone,Imperial IPA,12 Gallons,1.084,1.02,8.43,68.21,6.26 °L
Brooklyn Sorachi Ace,Saison,5 Gallons,1.082,1.013,9.1,33,4.1 °L
Cascade Pale Ale,American Pale Ale,5.5 Gallons,1.049,1.009,5.24,38.07,3.79 °L
Brewdog Punk IPA Clone,American IPA,46 Litres,13.402,2.789,5.7,40.7,4.82 °L
Dry Irish Stout: Guinness Clone,Dry Stout,12 Gallons,1.044,1.01,4.44,35.43,31.4 °L
Hey Mango IPA,American IPA,21 Litres,1.058,1.01,6.31,47.13,4.41 °L
Kronenbourg 1664 Blanc Klone,Witbier,23 Litres,1.052,1.011,5.36,18.92,3.26 °L
Biermuncher's Centennial Blonde,Blonde Ale,5.5 Gallons,1.041,1.011,3.83,23.57,3.73 °L
Blood Orange IPA Clone,American IPA,5.25 Gallons,1.064,1.015,6.47,61.25,8.23 °L
Kilkenny Irish Cream Ale Clone,Irish Red Ale,5.5 Gallons,1.054,1.013,5.34,27.34,27.63 °L
Raging Red Irish Red Ale,Irish Red Ale,5.5 Gallons,1.054,1.01,5.82,38.31,15.23 °L
Hoegaarden Clone,Weizen/Weissbier,5.5 Gallons,1.052,1.013,5.18,14.69,4.05 °L
Dale's Pale Ale Clone,American Pale Ale,5 Gallons,1.067,1.017,6.6,83.71,11.69 °L
Miller Lite Clone,American Light Lager,5.5 Gallons,1.04,1.007,4.41,14.81,2.48 °L
Tree House Julius Clone,American IPA,5.5 Gallons,1.065,1.018,6.26,77.09,6.93 °L
New England IPA,American IPA,5.25 Gallons,1.071,1.018,6.93,69.23,6.82 °L
Siddhartha Of Suburbia Saison,Saison,5.5 Gallons,1.072,1.013,7.66,28.21,6.24 °L
Raspberry Wheat Ale,Fruit Beer,5.25 Gallons,1.058,1.012,6.1,27.41,6.86 °L
Budvar Original Clone,Czech Premium Pale Lager,25 Litres,1.052,1.014,4.95,28.56,4.65 °L
Bud Light Clone,American Light Lager,6 Gallons,1.038,1.006,4.17,11.99,2.37 °L
Easy Imperial IPA (Double IPA),Imperial IPA,5.5 Gallons,1.079,1.014,8.51,126.11,8.08 °L
The Devil Is In The Details (Duvel Clone),Belgian Golden Strong Ale,11 Gallons,1.069,1.005,8.4,33.46,3.11 °L
Grapefruit IPA,American IPA,7 Gallons,1.052,1.012,5.31,59.97,5.82 °L
Rochefort 10 Clone,Belgian Dark Strong Ale,19 Litres,1.096,1.01,11.3,27,20.93 °L
Balter XPA Clone,American Pale Ale,21 Litres,1.051,1.009,5.6,33.48,5.1 °L
Bakke Brygg Kölsch 25 L,Kölsch,25 Litres,1.047,1.01,4.86,23.49,3.45 °L
Oatmeal Cookie Ale,American Brown Ale,3.1 Gallons,1.056,1.014,5.53,20.8,18.8 °L
Michelob Ultra,American Light Lager,7 Gallons,1.033,1.008,3.32,10.24,2.34 °L
Founders All Day IPA Clone,American Pale Ale,5 Gallons,1.052,1.01,5.55,42.38,8.14 °L
Citra SMaSH,American Pale Ale,5 Gallons,1.065,1.018,6.12,32.02,3.99 °L
Bell's Two Hearted (Official Clone Recipe),American IPA,5.5 Gallons,1.063,1.011,6.91,70.13,6.81 °L
