Recipe Name,Recipe URL,Beer Style,Brewer,Stats
Classic saison,https://beersmithrecipes.com/viewrecipe/2274009/classic-saison,Saison (25B),ceaker,"OG: 1.052 (12.9° P), Bitterness: 23.7 IBUs, ABV: 5.5 %"
BlueBerry Trippel no,https://beersmithrecipes.com/viewrecipe/4182775/blueberry-trippel-no,Belgian Tripel (26C),JEFFREY1,"OG: 1.077 (18.7° P), Bitterness: 25.9 IBUs, ABV: 9.0 %"
Frog Stomp!n',https://beersmithrecipes.com/viewrecipe/4985285/frog-stompn,American Pale Ale (18B),soundwavedave,"OG: 1.052 (13.0° P), Bitterness: 32.4 IBUs, ABV: 5.4 %"
Bramhall fest Marzen,https://beersmithrecipes.com/viewrecipe/5173911/bramhall-fest-marzen,Festbier (4B),andrewoshea,"OG: 1.055 (13.6° P), Bitterness: 21.5 IBUs, ABV: 5.6 %"
West Coast IPA v1,https://beersmithrecipes.com/viewrecipe/5177828/west-coast-ipa-v1,American IPA (21A),cdouglas70,"OG: 1.066 (16.0° P), Bitterness: 79.5 IBUs, ABV: 6.4 %"
Hop water,https://beersmithrecipes.com/viewrecipe/5037155/hop-water,"Spice, Herb, or Vegetable Beer (21A)",gsa2bsa2,"OG: 1.000 (-0.0° P), Bitterness: 23.1 IBUs, ABV: 0.0 %"
Waterpocket IPL,https://beersmithrecipes.com/viewrecipe/4787679/waterpocket-ipl,International Pale Lager (2A),PovertyFlatBrewing,"OG: 1.063 (15.5° P), Bitterness: 94.8 IBUs, ABV: 7.1 %"
Nr2 Berliner Hindbær 90 lt,https://beersmithrecipes.com/viewrecipe/3595948/nr2-berliner-hindbaer-90-lt,Berliner weisse (11E),themadbrewer,"OG: 1.038 (9.5° P), Bitterness: 3.6 IBUs, ABV: 4.1 %"
Pumpkin Ale - ABREJA,https://beersmithrecipes.com/viewrecipe/5048854/pumpkin-ale-abreja,American Amber Ale (19A),cervejauaipa,"OG: 1.052 (12.8° P), Bitterness: 6.6 IBUs, ABV: 5.3 %"
Valbrygg Golden Ale Batch 95,https://beersmithrecipes.com/viewrecipe/5177256/valbrygg-golden-ale-batch-95,American Pale Ale (10A),Valbrygg,"OG: 1.049 (12.1° P), Bitterness: 32.8 IBUs, ABV: 5.3 %"
Valbrygg Batch 100,https://beersmithrecipes.com/viewrecipe/5177253/valbrygg-batch-100,Wood- and Barrel-Aged Strong Stout (23 ),Valbrygg,"OG: 1.125 (29.2° P), Bitterness: 36.6 IBUs, ABV: 10.0 %"
Valbrygg Sterk Bayer Batch 96,https://beersmithrecipes.com/viewrecipe/5177255/valbrygg-sterk-bayer-batch-96,Eisbock ( 9B),Valbrygg,"OG: 1.120 (28.2° P), Bitterness: 27.1 IBUs, ABV: 10.0 %"
Valbryggs Julebokk batch 99,https://beersmithrecipes.com/viewrecipe/5177254/valbryggs-julebokk-batch-99,Doppelbock ( 3R),Valbrygg,"OG: 1.087 (20.8° P), Bitterness: 30.7 IBUs, ABV: 9.6 %"
Valbrygg 7 Sorter Jul Batch 73,https://beersmithrecipes.com/viewrecipe/4158283/valbrygg-7-sorter-jul-batch-73,Christmas/Winter Specialty Spice Beer (21B),Valbrygg,"OG: 1.065 (16.0° P), Bitterness: 36.0 IBUs, ABV: 6.3 %"
Valbryggs Julebokk batch 74,https://beersmithrecipes.com/viewrecipe/4158284/valbryggs-julebokk-batch-74,Doppelbock ( 3R),Valbrygg,"OG: 1.085 (20.5° P), Bitterness: 31.9 IBUs, ABV: 9.5 %"
Valbrygg Utepils Batch 75,https://beersmithrecipes.com/viewrecipe/4158286/valbrygg-utepils-batch-75,German Pils ( 5D),Valbrygg,"OG: 1.048 (11.9° P), Bitterness: 26.2 IBUs, ABV: 5.2 %"
Valbrygg God Jul Batch 76,https://beersmithrecipes.com/viewrecipe/4158287/valbrygg-god-jul-batch-76,Christmas/Winter Specialty Spice Beer (21B),Valbrygg,"OG: 1.075 (18.1° P), Bitterness: 34.9 IBUs, ABV: 7.6 %"
